Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,c2,4x16,4a044893ef120287,d7b5910d7c0c4882,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,54.0000000,140866350956.0000000,16000000000.0000000,59002880.0000000
2,n2,16x32,a07dd6e092fa1373,bd7f5e487e137c3c,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,16.0000000,32000.0000000,152.0000000,1335023309390.0000000,32000000000.0000000,11304759296.0000000
2,m5,4x16,5740285ab333723f,712c05290f0ccba8,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,19.0000000,60304620951.0000000,16000000000.0000000,26116096.0000000
2,c2,4x8,fef2ee4a0f3859cb,41b8bb1d4667917f,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,40.0000000,147032866363.0000000,8000000000.0000000,7999037440.0000000
0,m5a,4x8,8abd4bbe23df44ce,1f02af9a4ab99cea,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,552.0000000,2175398361338.0000000,8000000000.0000000,7999778816.0000000
2,c2,4x8,fef2ee4a0f3859cb,3c41b828b2f7c254,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,8000.0000000,1154.0000000,4593733956739.0000000,8000000000.0000000,7999098880.0000000
0,m5a,4x16,b6352d6200df2ed8,dba21d559ab85d73,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,4.0000000,16000.0000000,2941.0000000,11675692870556.0000000,16000000000.0000000,11888586752.0000000
0,m5a,8x16,cff35882702415c5,2fbcdd0fc65b2139,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,3606.0000000,22474812846290.0000000,16000000000.0000000,15999524864.0000000
2,c2,4x16,4a044893ef120287,3b0c68e79c8371b3,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,4.0000000,16000.0000000,195.0000000,764698793182.0000000,16000000000.0000000,9167933440.0000000
1,m5a,8x16,cff35882702415c5,7175f3dc656d4e36,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,497.0000000,3802786375647.0000000,16000000000.0000000,9451483136.0000000
1,m5,4x16,5740285ab333723f,a6905eec07f917b2,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,391.0000000,1538960966808.0000000,16000000000.0000000,9277714432.0000000
0,m5a,4x16,b6352d6200df2ed8,968737635a7dcd29,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,227.0000000,892514445182.0000000,16000000000.0000000,7925559296.0000000
0,c2,16x32,9c81f5006e126d68,0b2032d66fabe578,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,16.0000000,32000.0000000,53.0000000,730514340616.0000000,32000000000.0000000,14247886848.0000000
0,m5,8x16,32fd88b7a4164e24,6c69c75e23eeccd5,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,1248.0000000,9873865023768.0000000,16000000000.0000000,13650309120.0000000
1,c2,4x16,4a044893ef120287,763785c0e03942ff,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,16000.0000000,373.0000000,1278979516545.0000000,16000000000.0000000,11304210432.0000000
0,c2,8x16,e9d54747c092757f,72516de6dc809838,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,129.0000000,971736757373.0000000,16000000000.0000000,10175037440.0000000
2,m5a,8x16,cff35882702415c5,75a9d622055837df,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,229.0000000,1666463231732.0000000,16000000000.0000000,10564939776.0000000
1,m5n,4x8,4408e0ce4bd27627,af54d6e25956d062,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,39.0000000,140845471951.0000000,8000000000.0000000,7999680512.0000000
1,m5n,8x16,d60228504b629616,d9d224407d111a53,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,112.0000000,864657663594.0000000,16000000000.0000000,7240593408.0000000
2,c2,4x8,fef2ee4a0f3859cb,3c41b828b2f7c254,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,391.0000000,1538656092270.0000000,8000000000.0000000,7998861312.0000000
0,n1,8x32,50b3f0b390adf30c,4508e7cf34210698,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,325.0000000,1832117464515.0000000,32000000000.0000000,11303182336.0000000
0,c2,4x16,4a044893ef120287,16afe4c6dd2842cd,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,35.0000000,129640851972.0000000,16000000000.0000000,8902201344.0000000
2,n2,8x32,2ef7f6043165f6d4,2a34ea73c3af3ae8,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,32000.0000000,809.0000000,6424641117361.0000000,32000000000.0000000,10408329216.0000000
0,m5a,4x8,8abd4bbe23df44ce,1f02af9a4ab99cea,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,error,4.0000000,8000.0000000,684.0000000,2696682181608.0000000,8000000000.0000000,7999651840.0000000
1,c2,16x32,9c81f5006e126d68,60b3f5324003dfeb,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,16.0000000,32000.0000000,15.0000000,45881957996.0000000,32000000000.0000000,32608256.0000000
0,m5n,4x16,37a364a813b21646,d57be972a3213577,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,40.0000000,141018182953.0000000,16000000000.0000000,8700362752.0000000
2,m5,8x32,dc306269b3aee629,f5f1044ac3712bc3,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,32000.0000000,30.0000000,188454439168.0000000,32000000000.0000000,8889479168.0000000
2,m5,4x8,9c98a8f747ea3c23,b3f28130d87dc4b5,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,63.0000000,164554116688.0000000,8000000000.0000000,55427072.0000000
1,m5a,4x16,b6352d6200df2ed8,89777847767fc1a3,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,55.0000000,201526039444.0000000,16000000000.0000000,8993972224.0000000
0,m5a,4x8,8abd4bbe23df44ce,1f02af9a4ab99cea,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,8000.0000000,1536.0000000,6123279381544.0000000,8000000000.0000000,7999778816.0000000
1,c2,16x32,9c81f5006e126d68,60b3f5324003dfeb,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,16.0000000,32000.0000000,164.0000000,1356710813773.0000000,32000000000.0000000,11348373504.0000000
0,m5,4x8,9c98a8f747ea3c23,2619e1f77b69c36a,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,62.0000000,156198768086.0000000,8000000000.0000000,55934976.0000000
2,c2,8x32,c03344fc8e33a804,bff3cb38bdf7556c,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,32000.0000000,292.0000000,2219715745523.0000000,32000000000.0000000,11477553152.0000000
2,c2,4x8,fef2ee4a0f3859cb,3c41b828b2f7c254,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,error,4.0000000,8000.0000000,456.0000000,1804664458765.0000000,8000000000.0000000,7999115264.0000000
0,m5n,8x16,d60228504b629616,894be8cabd05f8dd,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,777.0000000,6161541751824.0000000,16000000000.0000000,10301181952.0000000
0,c2,8x16,e9d54747c092757f,72516de6dc809838,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,108.0000000,839849418625.0000000,16000000000.0000000,7602171904.0000000
0,m5,4x8,9c98a8f747ea3c23,2619e1f77b69c36a,ERR015526_2.fastq.gz,bwa,0.7.17.4,error,4.0000000,8000.0000000,3374.0000000,12141825590211.0000000,8000000000.0000000,7999561728.0000000
2,m5,8x16,32fd88b7a4164e24,c7c815be7543e03e,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,27.0000000,169889605966.0000000,16000000000.0000000,9002962944.0000000
0,c2,16x32,9c81f5006e126d68,5669cc6df297e408,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,175.0000000,2565045645632.0000000,32000000000.0000000,9323388928.0000000
0,m5,4x8,9c98a8f747ea3c23,2619e1f77b69c36a,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,error,4.0000000,8000.0000000,521.0000000,2061763722526.0000000,8000000000.0000000,7999684608.0000000
1,m5,4x16,5740285ab333723f,1c01544a87a9995e,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,177.0000000,694813264447.0000000,16000000000.0000000,7581470720.0000000
0,m5n,8x32,c3d80e63db7cf960,c87e323aed64b6cf,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,2525.0000000,14930987167502.0000000,32000000000.0000000,16854917120.0000000
2,c2,8x32,c03344fc8e33a804,bff3cb38bdf7556c,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,32000.0000000,1219.0000000,9667707626565.0000000,32000000000.0000000,14369206272.0000000
2,n2,16x32,a07dd6e092fa1373,bd7f5e487e137c3c,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,16.0000000,32000.0000000,18.0000000,59485356194.0000000,32000000000.0000000,39272448.0000000
1,m5n,8x32,c3d80e63db7cf960,3b0b1fb7f4e02e87,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,error,8.0000000,32000.0000000,0E-7,65657668.0000000,32000000000.0000000,3891200.0000000
1,c2,4x16,4a044893ef120287,763785c0e03942ff,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,165.0000000,650387681230.0000000,16000000000.0000000,7286411264.0000000
2,c2,4x8,fef2ee4a0f3859cb,3c41b828b2f7c254,ERR015526_2.fastq.gz,bwa,0.7.17.4,error,4.0000000,8000.0000000,3212.0000000,11687945961713.0000000,8000000000.0000000,7998758912.0000000
2,m5,8x16,32fd88b7a4164e24,c2f91d53ee85b9b6,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,2348.0000000,13786786851487.0000000,16000000000.0000000,15999545344.0000000
2,m5n,4x8,4408e0ce4bd27627,6e8a2480668a36b4,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,8000.0000000,176.0000000,690771493412.0000000,8000000000.0000000,7544295424.0000000
1,c2,4x16,4a044893ef120287,763785c0e03942ff,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,17.0000000,52167977460.0000000,16000000000.0000000,29442048.0000000
1,c2,4x16,4a044893ef120287,d7b5910d7c0c4882,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,16000.0000000,3632.0000000,12794190545402.0000000,16000000000.0000000,15470657536.0000000
1,c2,4x8,fef2ee4a0f3859cb,5e2050b11dcab4ca,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,16.0000000,52176864462.0000000,8000000000.0000000,29237248.0000000
2,n1,8x32,50b3f0b390adf30c,e4ff37afa8b7fef4,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,error,8.0000000,32000.0000000,0E-7,97887438.0000000,32000000000.0000000,10047488.0000000
1,n2,16x32,a07dd6e092fa1373,d68e711170e25653,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,15.0000000,162752821181.0000000,32000000000.0000000,8341921792.0000000
2,m5,8x16,32fd88b7a4164e24,c2f91d53ee85b9b6,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,1186.0000000,9384939689494.0000000,16000000000.0000000,13657124864.0000000
2,n2,8x32,2ef7f6043165f6d4,2a34ea73c3af3ae8,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,32000.0000000,59.0000000,175222514481.0000000,32000000000.0000000,60268544.0000000
1,m5n,4x16,37a364a813b21646,8d7c125f287d37ab,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,393.0000000,1547949795235.0000000,16000000000.0000000,9143857152.0000000
2,m5n,8x16,d60228504b629616,b13a74e710d6c69d,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,16000.0000000,21.0000000,61196126250.0000000,16000000000.0000000,29732864.0000000
2,c2,8x16,e9d54747c092757f,d0fc383b7f9588a2,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,126.0000000,959614284872.0000000,16000000000.0000000,10841645056.0000000
0,m5,8x32,dc306269b3aee629,c55322a9f9497095,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,32000.0000000,27.0000000,168197224204.0000000,32000000000.0000000,8931856384.0000000
1,n1,8x32,50b3f0b390adf30c,d5b8a181c6b57b7a,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,2982.0000000,18005260955019.0000000,32000000000.0000000,16829956096.0000000
0,m5n,4x16,37a364a813b21646,83ee73177af984b6,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,388.0000000,1528032782389.0000000,16000000000.0000000,9337253888.0000000
0,n2,8x32,2ef7f6043165f6d4,c303b40899770495,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,32000.0000000,117.0000000,905797351789.0000000,32000000000.0000000,7879278592.0000000
2,c2,8x32,c03344fc8e33a804,34ef07bc4a7df448,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,263.0000000,1519122290963.0000000,32000000000.0000000,11320496128.0000000
1,n1,8x32,50b3f0b390adf30c,ce5d817bbae3720f,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,331.0000000,1906686797353.0000000,32000000000.0000000,11321364480.0000000
2,m5a,4x8,8abd4bbe23df44ce,2eccc05d42196cb4,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,99.0000000,242201760213.0000000,8000000000.0000000,391946240.0000000
2,m5n,4x16,37a364a813b21646,b46aaac56acc977b,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,1270.0000000,5054810506860.0000000,16000000000.0000000,8045035520.0000000
2,m5,8x16,32fd88b7a4164e24,c7c815be7543e03e,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,131.0000000,975191726520.0000000,16000000000.0000000,12688199680.0000000
1,m5,8x16,32fd88b7a4164e24,00a4a41b18c3d45a,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,751.0000000,5942350246076.0000000,16000000000.0000000,10310012928.0000000
1,n2,8x32,2ef7f6043165f6d4,8bf6c6774a5b43a9,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,32000.0000000,258.0000000,1506928171532.0000000,32000000000.0000000,11317166080.0000000
0,c2,8x16,e9d54747c092757f,72516de6dc809838,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,16000.0000000,15.0000000,45139873205.0000000,16000000000.0000000,32997376.0000000
2,m5n,4x16,37a364a813b21646,44eaa70e2922adba,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,179.0000000,700528539130.0000000,16000000000.0000000,7636705280.0000000
0,m5,8x16,32fd88b7a4164e24,6c69c75e23eeccd5,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,2572.0000000,15213120743494.0000000,16000000000.0000000,15999561728.0000000
1,m5,8x16,32fd88b7a4164e24,1079a9ad19adbc27,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,273.0000000,1529789102324.0000000,16000000000.0000000,11298373632.0000000
2,n2,16x32,a07dd6e092fa1373,ba8ffb5c0aeee37e,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,16.0000000,32000.0000000,56.0000000,154262192691.0000000,32000000000.0000000,63901696.0000000
2,n2,16x32,a07dd6e092fa1373,bd7f5e487e137c3c,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,16.0000000,32000.0000000,46.0000000,676195433162.0000000,32000000000.0000000,8044810240.0000000
1,m5,8x16,32fd88b7a4164e24,00a4a41b18c3d45a,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,1236.0000000,9783528595259.0000000,16000000000.0000000,13629198336.0000000
2,m5,4x16,5740285ab333723f,712c05290f0ccba8,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,40.0000000,141873854398.0000000,16000000000.0000000,8820932608.0000000
0,c2,16x32,9c81f5006e126d68,5669cc6df297e408,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,16.0000000,32000.0000000,480.0000000,7474943294671.0000000,32000000000.0000000,19173961728.0000000
2,m5a,4x16,b6352d6200df2ed8,602771059616ac63,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,63.0000000,231917331251.0000000,16000000000.0000000,8893009920.0000000
2,m5,4x16,5740285ab333723f,712c05290f0ccba8,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,177.0000000,695448692654.0000000,16000000000.0000000,7656648704.0000000
0,m5n,4x16,37a364a813b21646,83ee73177af984b6,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,16000.0000000,3810.0000000,13174293519387.0000000,16000000000.0000000,15393832960.0000000
0,c2,16x32,9c81f5006e126d68,5669cc6df297e408,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,16.0000000,32000.0000000,49.0000000,132707856540.0000000,32000000000.0000000,62889984.0000000
2,m5,8x16,32fd88b7a4164e24,c2f91d53ee85b9b6,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,776.0000000,6145818581173.0000000,16000000000.0000000,10303787008.0000000
1,c2,8x16,e9d54747c092757f,b14296be9c0b738e,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,793.0000000,6294081426947.0000000,16000000000.0000000,10845392896.0000000
2,c2,4x16,4a044893ef120287,4e9542e3f10fb2a7,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,1175.0000000,4677292795628.0000000,16000000000.0000000,8257318912.0000000
1,m5,4x8,9c98a8f747ea3c23,718f56f3980358f3,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,39.0000000,142015760599.0000000,8000000000.0000000,7999688704.0000000
1,c2,4x16,4a044893ef120287,d7b5910d7c0c4882,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,397.0000000,1558363857900.0000000,16000000000.0000000,10328207360.0000000
1,c2,8x16,e9d54747c092757f,282a51fe93c0ebcf,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,26.0000000,139423090462.0000000,16000000000.0000000,9021726720.0000000
2,m5n,4x16,37a364a813b21646,b46aaac56acc977b,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,63.0000000,165233042739.0000000,16000000000.0000000,56315904.0000000
0,c2,4x8,fef2ee4a0f3859cb,358e8d4e95dcf194,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,50.0000000,126284460109.0000000,8000000000.0000000,58970112.0000000
1,m5n,8x16,d60228504b629616,b5f69fe8ddb9869c,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,290.0000000,2178231800701.0000000,16000000000.0000000,10328309760.0000000
0,m5,8x32,dc306269b3aee629,c55322a9f9497095,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,32000.0000000,19.0000000,55187722012.0000000,32000000000.0000000,28172288.0000000
2,m5n,4x8,4408e0ce4bd27627,313ef9665d54d1c5,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,386.0000000,1522401919234.0000000,8000000000.0000000,7999684608.0000000
2,n1,8x32,50b3f0b390adf30c,e4ff37afa8b7fef4,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,error,8.0000000,32000.0000000,0E-7,96944364.0000000,32000000000.0000000,9293824.0000000
0,m5n,4x8,4408e0ce4bd27627,9012b4c7723f840d,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,8000.0000000,400.0000000,1325703644884.0000000,8000000000.0000000,7999557632.0000000
0,c2,8x16,e9d54747c092757f,e6670e2c55130c3e,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,289.0000000,2194631710888.0000000,16000000000.0000000,11734814720.0000000
0,m5,4x16,5740285ab333723f,3342374060709381,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,16000.0000000,3792.0000000,13098291832201.0000000,16000000000.0000000,15423160320.0000000
0,m5a,8x16,cff35882702415c5,2fbcdd0fc65b2139,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,1853.0000000,14615757588657.0000000,16000000000.0000000,13693673472.0000000
0,n2,8x32,2ef7f6043165f6d4,c303b40899770495,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,32000.0000000,126.0000000,963527502959.0000000,32000000000.0000000,10658349056.0000000
2,n2,8x32,2ef7f6043165f6d4,2a34ea73c3af3ae8,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,32000.0000000,1214.0000000,9615188243754.0000000,32000000000.0000000,13658624000.0000000
0,m5n,8x32,c3d80e63db7cf960,7f7b46ad7c1fd6b2,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,32000.0000000,19.0000000,54265302233.0000000,32000000000.0000000,29052928.0000000
1,m5a,4x8,8abd4bbe23df44ce,c5465eeae1bf589e,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,71.0000000,264791401815.0000000,8000000000.0000000,7999627264.0000000
0,c2,4x8,fef2ee4a0f3859cb,358e8d4e95dcf194,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,error,4.0000000,8000.0000000,455.0000000,1804023803939.0000000,8000000000.0000000,7998959616.0000000
1,m5n,8x16,d60228504b629616,d9d224407d111a53,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,29.0000000,186617474360.0000000,16000000000.0000000,8868347904.0000000
1,c2,8x32,c03344fc8e33a804,359e025952d7ae05,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,32000.0000000,1221.0000000,9677365951089.0000000,32000000000.0000000,14424653824.0000000
2,m5,4x8,9c98a8f747ea3c23,b3f28130d87dc4b5,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,389.0000000,1530688531106.0000000,8000000000.0000000,7999782912.0000000
1,c2,8x16,e9d54747c092757f,282a51fe93c0ebcf,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,123.0000000,934754429778.0000000,16000000000.0000000,13720948736.0000000
1,m5,8x16,32fd88b7a4164e24,00a4a41b18c3d45a,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,2501.0000000,14826908630101.0000000,16000000000.0000000,15999561728.0000000
0,m5,16x32,5e31efebafb2ccd2,5daae8527712965b,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,16.0000000,32000.0000000,46.0000000,686097747687.0000000,32000000000.0000000,7500234752.0000000
0,c2,8x16,e9d54747c092757f,e6670e2c55130c3e,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,16000.0000000,53.0000000,149689089726.0000000,16000000000.0000000,60461056.0000000
1,m5,4x8,9c98a8f747ea3c23,718f56f3980358f3,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,20.0000000,60367731797.0000000,8000000000.0000000,22638592.0000000
0,m5n,4x8,4408e0ce4bd27627,9012b4c7723f840d,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,20.0000000,58896688267.0000000,8000000000.0000000,24555520.0000000
1,m5n,8x32,c3d80e63db7cf960,3b0b1fb7f4e02e87,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,8.0000000,32000.0000000,90.0000000,695987137784.0000000,32000000000.0000000,7243599872.0000000
0,m5,8x32,dc306269b3aee629,c55322a9f9497095,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,32000.0000000,130.0000000,979230881083.0000000,32000000000.0000000,10897620992.0000000
0,c2,8x16,e9d54747c092757f,e6670e2c55130c3e,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,2351.0000000,14328697635998.0000000,16000000000.0000000,15998717952.0000000
2,c2,4x16,4a044893ef120287,3b0c68e79c8371b3,SRR592109_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,17.0000000,52112768947.0000000,16000000000.0000000,28704768.0000000
0,m5n,4x16,37a364a813b21646,83ee73177af984b6,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,1262.0000000,5020693695908.0000000,16000000000.0000000,8044724224.0000000
1,m5a,4x8,8abd4bbe23df44ce,ff3245690d279248,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,104.0000000,241860944914.0000000,8000000000.0000000,54140928.0000000
1,m5n,4x16,37a364a813b21646,093720dde9f1a81b,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,178.0000000,698535920030.0000000,16000000000.0000000,7438036992.0000000
0,m5,4x8,9c98a8f747ea3c23,8592fa8ce2982a1c,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,40.0000000,144741234970.0000000,8000000000.0000000,7999787008.0000000
1,c2,8x32,c03344fc8e33a804,359e025952d7ae05,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,32000.0000000,57.0000000,157860658751.0000000,32000000000.0000000,1045860352.0000000
1,n2,16x32,a07dd6e092fa1373,41bf04b47c7e2367,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,16.0000000,32000.0000000,57.0000000,153268902913.0000000,32000000000.0000000,611196928.0000000
1,m5n,8x16,d60228504b629616,d9d224407d111a53,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,126.0000000,951642201551.0000000,16000000000.0000000,11788640256.0000000
0,m5a,4x8,8abd4bbe23df44ce,7489088628b4c047,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,289.0000000,1126542808726.0000000,8000000000.0000000,7999655936.0000000
